id,price,log_price,price_per_person,room_type,property_type,accommodates,bedrooms,beds,bathrooms,n_reviews,review_scores_rating,host_is_superhost,availability_365,minimum_nights,period,municipality,cod_istat,dist_ski,dist_lake,dist_park,dist_station,dist_bus,dist_center,dist_supermarket,dist_restaurant,dist_bar,dist_pharmacy,dist_castle,dist_museum,lat,long
2329082,160.0,5.075173815233827,16.0,Entire home/apt,Entire rental unit,10,4.0,9.0,2.0,33,4.91,0.0,164,3,december,Rumo,22163,11432.688612829776,20062.61454571167,4450.137771723932,4806.257317827949,320.7818553288778,4003.5103832860314,1729.9271969325057,111.52886629208719,284.37481408855166,3535.0459411206443,3369.4328280506743,8161.3164908159015,46.43546,11.03143
2395846,110.0,4.700480365792417,27.5,Entire home/apt,Entire rental unit,4,2.0,4.0,1.0,3,5.0,0.0,122,5,december,Rumo,22163,11447.37657385227,20021.562607328735,4408.37049280611,4764.964497063824,327.2433371990691,4008.527428319845,1755.8480529843014,91.02239623782707,293.89497775276413,3493.9747443241436,3328.6986430369248,8144.463205331219,46.43513,11.03117
414591,94.0,4.543294782270004,47.0,Private room,Private room in bed and breakfast,2,1.0,2.0,1.0,96,4.89,1.0,359,1,december,Rabbi,22150,6810.022113323894,13302.969022725945,3562.5867125892523,3726.7992743198915,47.4885243066148,7830.337427719325,3062.9294101044516,63.122806445095584,3495.5051279822487,3534.71939634803,5270.421430366129,3489.2578058520094,46.37324,10.87785
414829,194.0,5.267858159063328,48.5,Entire home/apt,Entire chalet,4,2.0,4.0,1.0,134,4.99,1.0,337,3,december,Rabbi,22150,8909.604519937757,16984.915675893866,7369.098336009362,7504.848203845792,232.47976393082146,4270.754035139521,241.36039343997032,201.4518924540108,2873.431536424635,215.6672906011035,8564.128373396421,7277.629524439594,46.39911,10.84504
466197,45.0,3.8066624897703196,22.5,Entire home/apt,Entire condo,2,1.0,1.0,1.0,185,4.8,0.0,28,2,december,Mezzocorona,22116,34.72046017328017,10545.017528627885,301.37242716393195,573.3540988615172,69.20135060312981,1417.248321609664,408.07100532622997,275.47801967014254,1608.9745138451335,396.45696567205897,578.6988435366839,2999.3457784154275,46.2191,11.11877
506103,135.0,4.90527477843843,22.5,Entire home/apt,Entire townhouse,6,3.0,5.0,2.0,47,4.49,0.0,196,7,december,Commezzadura,22064,1681.1792724217357,8783.005302576234,1258.9307869071058,1387.7699443052188,282.8817195778261,2099.1721931705147,1057.5277659316998,882.2019191063079,874.6610313709558,1178.532377941865,8207.002188517565,4089.4907446016596,46.31801,10.86405
2416868,180.0,5.19295685089021,36.0,Entire home/apt,Entire rental unit,5,2.0,4.0,1.0,31,4.84,1.0,0,3,december,Ledro,22229,15440.673015620132,8344.063489130485,282.72443755768484,8224.929830706833,330.8028756493367,859.5328086543749,161.7343979116539,198.50388501565885,163.14844875407664,304.3504176808027,8207.542749271772,355.36046812088296,45.88627,10.73009
2422910,300.0,5.703782474656201,50.0,Entire home/apt,Entire rental unit,6,3.0,5.0,1.0,10,4.9,1.0,0,3,december,Ledro,22229,14009.441216869403,8153.458836626545,1304.5252021630888,8897.887263686081,215.95642373664577,1611.4468921277735,158.13010775756217,262.9699892830637,628.4077384800406,1383.2814613924643,7253.7451278306,566.1995554923988,45.89932,10.72332
2427227,159.0,5.0689042022202315,17.666666666666668,Entire home/apt,Entire condo,9,3.0,7.0,3.0,61,4.82,0.0,121,3,december,Molveno,22120,440.81678550127435,362.47106016195437,6149.79544581746,10524.172096024202,92.82825372569468,1928.756335039913,293.0827694147588,230.84185282157685,256.9872761541848,350.6525223846368,8028.575709248398,8137.485713395142,46.14234,10.96026
2427380,300.0,5.703782474656201,60.0,Entire home/apt,Entire cabin,5,2.0,4.0,1.0,6,5.0,1.0,0,4,december,Ledro,22229,16506.433674229433,8623.85352947825,3333.89875981784,12484.891314800168,4182.021075672068,5461.842926969617,5431.843946754402,154.3415166610096,5471.3832229364425,5869.7507685203955,10813.814803349087,1090.3108846324205,45.84111,10.68781
