id,price,log_price,price_per_person,room_type,accommodates,n_reviews,municipality,cod_istat,dist_ski,dist_lake,dist_park,dist_station,dist_bus,dist_center,dist_supermarket,dist_restaurant,dist_bar,dist_pharmacy,dist_castle,dist_museum,lat,long
1471148223608537881,141.0,4.948759890378168,23.5,Entire home/apt,6,3,Rabbi,22150,8748.715389599445,1731.4824998151844,8092.692000344636,8262.494607114437,287.4941483777196,3709.8987555451085,618.1126504961461,665.0092567211876,2333.6621375586974,687.3648420596737,9225.838081883792,8038.4903731819195,46.4053014,10.8399292
1471496198180094049,250.0,5.521460917862246,83.33333333333333,Entire home/apt,3,0,Riva del Garda,22153,13032.081616785666,437.2387543793818,216.6035689334354,501.6010173270419,105.16320907042277,1391.5314182839422,44.40611252022015,163.53920559257418,52.07085737662418,356.6548280676435,474.21940012930315,456.60380619032077,45.88859823720124,10.839186400959406
1471539916157389719,119.0,4.77912349311153,9.916666666666666,Entire home/apt,12,1,Primiero San Martino di Castrozza,22245,201.4457785718467,607.5122118719584,8391.587693572103,29966.72050398999,108.94145214282334,2442.8885519306514,710.5384443796344,480.6410879491408,651.4546756675501,744.1923029712912,8534.743674524003,9144.54208190412,46.25538913442971,11.80135948916321
1471785549474673556,93.0,4.532599493153256,23.25,Entire home/apt,4,0,Baselga di Pinè,22009,9965.275968050813,554.4420099056766,752.866111105035,7358.247857428406,42.224684701418674,3675.5582800459565,640.513578042031,600.2073114561589,606.2790306231316,628.7302542667418,1896.1742441532037,3373.361506651504,46.12905,11.23698
1471801729034092064,90.0,4.499809670330265,18.0,Entire home/apt,5,27,Sanzeno,22169,7614.767330329694,1395.7002932691398,329.4006965936157,3053.505419697744,105.43396472327662,878.476240993777,302.72091671443167,254.07052727740438,931.6897743491288,2298.6555871973396,851.8803116682599,294.9937803657833,46.36786445188721,11.078247936016936
1472534260105717409,135.0,4.90527477843843,27.0,Entire home/apt,5,2,Trento,22205,5819.679999953163,220.03556778015098,91.47870329875144,4442.505172031977,35.88541606750508,6218.249174465819,53.418889748688386,96.46327858228982,82.61983286434246,29.559937439235217,258.2349851419165,1539.1967594449538,46.006699632281055,11.128014976678816
1472677065541944398,99.0,4.59511985013459,24.75,Entire home/apt,4,8,Sanzeno,22169,7712.381544032322,1511.7439146177396,459.8405696926198,3156.3929226454943,72.29647584186641,861.3039676190493,433.1331803527741,170.46361531790518,946.8706308543975,2355.0960365290425,782.7611384878146,167.385393795367,46.36870589999999,11.07943
1472996505481844975,105.0,4.653960350157523,26.25,Entire home/apt,4,0,Predazzo,22147,531.9257934770413,540.8666045129797,885.5951394846927,23548.559217931826,199.467260704179,3644.331101289264,1041.3989206791841,892.956264049969,420.0806196534857,1375.7785660391783,21572.43391868604,1299.6001254659552,46.32356,11.59864
1473738513102272074,121.0,4.795790545596741,40.333333333333336,Entire home/apt,3,4,Riva del Garda,22153,14536.57460682502,544.6462505623612,383.0484116689017,2708.285277447168,200.50764464583773,2979.0828824593373,669.1912091367793,268.7309506576626,703.5400524253126,923.4548831762918,1657.0169265216944,2560.8859627890884,45.907077956495854,10.849793188077626
1473842770785457420,80.0,4.382026634673881,20.0,Entire home/apt,4,5,Pergine Valsugana,22139,6774.9354189832775,1081.955057705665,216.43068318329463,835.3209000715729,222.3481843743823,1534.1167673737052,454.32626711165835,471.5752823366126,637.0726073830125,750.0100649831662,1760.4331360813594,3469.864956639594,46.0458084,11.2275804
1473851304482000319,214.0,5.365976015021851,26.75,Entire home/apt,8,8,Arco,22006,14378.452319882557,184.15852350248133,253.50033031127626,6029.5157241506795,60.58869668666691,1646.2915356255667,227.12569403973498,211.30877508833743,182.49809323079424,393.0179981298754,1304.9693797397397,4889.305403624858,45.91459,10.90223
1473896075444806260,104.0,4.6443908991413725,26.0,Entire home/apt,4,0,Pergine Valsugana,22139,6881.992383694184,1137.0277195085148,403.7024464404125,609.2146649507519,231.7008692688186,1181.3213527200953,267.4402463923987,372.6886008358787,342.418293443823,281.755993528062,1396.405925106893,1889.2217921406184,46.06601771990411,11.2256485067459
