id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1210058316742779911,Chalet Genziana,145373299,Matteo,,Trentino,46.2902896,11.4484682,Entire home/apt,155,3,0,,,1,306,0,IT022050C2OBNPIJFS
1210069290510292833,"B&B ""Majon De Sabin""",380591342,Majon,,Trentino,46.42701,11.69671,Private room,135,1,5,2024-09-15,0.99,7,338,5,IT022250A1EDRILTBP
1210143943963471854,Casa Vacanze Il Quadrifoglio,592507347,Yari,,Trentino,46.05035,11.46075,Entire home/apt,120,1,6,2024-12-15,1.36,1,240,6,IT022022C2G2LHSEHB
1210306179658450795,Casa da Giuly vacanze e natura,592555516,Giuliana,,Trentino,46.0192,10.86449,Entire home/apt,91,3,0,,,2,341,0,IT022228C2C4NBRI2O
1210754666979295616,Casa Giuly - Val di Sole,592555516,Giuliana,,Trentino,46.31084,10.75427,Entire home/apt,219,3,1,2024-09-11,0.27,2,298,1,IT022137C2GU8PKDVH
1211281560245730905,Vacanze Arcobaleno Blu,184595150,Holidu,,Trentino,46.3149824,11.6007643,Entire home/apt,231,1,1,2024-10-17,0.39,33,364,1,IT022147B4RR4WA980
1211429679697565924,Casa Berthold,7737133,Michela,,Trentino,45.8682555,10.7396688,Entire home/apt,,1,0,,,16,0,0,
1211474089034033499,Ledarix Garden Chalet,515512153,Beatrice,,Trentino,45.879617,10.7390622,Entire home/apt,530,1,0,,,7,360,0,IT022229B4I28KVUBZ
1211512735436557518,affittacamere Nido sul Cermis,96944393,Valentina,,Trentino,46.30307,11.45606,Private room,104,1,0,,,9,103,0,IT022254B4ONG3SMT4
1211575192322254788,Appartamento Bilocale Vista Lago n. 2 Piano Terra,584439383,Mariateresa,,Trentino,45.87609,10.74165,Entire home/apt,176,1,3,2024-09-20,0.64,3,204,3,IT022229C28D3QOTYL
1211580090164215345,Appartamento vista lago n. 4,584439383,Mariateresa,,Trentino,45.87696198507297,10.74234923459823,Entire home/apt,176,1,2,2024-10-23,0.56,3,213,2,IT022229C2IBYOXPBG
1211594515894507720,"Appartamento SMART - Klimt 
Ceniga di Dro Trento",592912256,Daria,,Trentino,45.9515396,10.9007191,Entire home/apt,104,3,6,2024-10-26,1.32,2,341,6,IT022079B4ZE65JZ5R
1211609848557469820,Sailing Home - Lake View,592918579,Sebastian,,Trentino,45.8795395,10.8592761,Entire home/apt,125,1,4,2024-10-19,0.90,1,311,4,IT022153C2YHGGX8Z8
1211713025077278957,Appartamento Le Albere,74079811,Carmen,,"Trento, Trentino",46.0612759,11.1135792,Entire home/apt,110,2,6,2024-12-29,1.54,2,278,6,IT022205C2NFVIC74Y
